Step,Value,WaveformValue
0,94,94
1,108,-108
2,114,114
3,120,-120
4,126,126
5,132,-132
6,143,143
7,154,-154
8,174,174
9,194,-194
10,214,214
11,219,-219
12,224,224
13,243,-243
14,253,253
15,263,-263
16,273,273
17,283,-283
18,293,293
19,303,-303
20,313,313
21,318,-318
22,323,323
23,333,-333
24,343,343
25,353,-353
26,363,363
27,373,-373
28,383,383
29,393,-393
30,403,403
31,422,-422
32,441,441
33,461,-461
34,481,481
35,501,-501
36,507,507
