Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
2442,made,VERB,18,-18,124.36,-124.36
2454,known,VERB,33,33,227.99,227.99
2456,ii,VERB,8,-8,55.27,55.27
2470,will,VERB,28,-28,193.45,193.45
2471,return,VERB,19,19,131.27,131.27
2482,known,VERB,33,33,227.99,227.99
2484,ii,VERB,8,-8,55.27,55.27
2488,known,VERB,33,33,227.99,227.99
2490,ii,VERB,8,-8,55.27,55.27
2494,used,VERB,15,15,103.63,103.63
2503,concealed,VERB,38,-38,262.53,-262.53
2545,is,VERB,7,7,48.36,-48.36
2549,called,VERB,31,31,214.17,-214.17
2578,concealed,VERB,38,-38,262.53,-262.53
2645,is,VERB,7,7,48.36,-48.36
2664,called,VERB,31,31,214.17,-214.17
2667,is,VERB,7,7,48.36,-48.36
2675,is,VERB,7,7,48.36,-48.36
2688,called,VERB,31,31,214.17,-214.17
2699,materialized,VERB,62,-62,428.34,-428.34
2700,is,VERB,7,7,48.36,-48.36
2722,are,VERB,8,-8,55.27,55.27
2737,are,VERB,8,-8,55.27,55.27
2780,is,VERB,7,7,48.36,-48.36
2786,is,VERB,7,7,48.36,-48.36
2846,s,VERB,3,3,20.73,-20.73
2849,ii,VERB,8,-8,55.27,55.27
2969,opposed,VERB,42,-42,290.17,-290.17
2971,orthodox,VERB,43,43,297.08,297.08
2972,i,VERB,4,-4,9.59,9.59
2976,are,VERB,8,-8,55.27,55.27
3079,stored,VERB,19,19,131.27,131.27
3116,denote,VERB,14,-14,96.72,-96.72
3122,quoted,VERB,35,35,241.81,241.81
3123,ii,VERB,8,-8,55.27,55.27
3129,quoted,VERB,35,35,241.81,241.81
3130,ii,VERB,8,-8,55.27,55.27
3143,chained,VERB,27,27,186.54,-186.54
3153,denoting,VERB,31,31,214.17,-214.17
3168,created,VERB,24,-24,165.81,165.81
3198,Falling,VERB,45,45,310.89,-310.89
3229,suffering,VERB,54,-54,373.07,373.07
3303,quoted,VERB,35,35,241.81,241.81
3304,ii,VERB,8,-8,55.27,55.27
3312,see,VERB,5,5,34.54,-34.54
3336,called,VERB,31,31,214.17,-214.17
3356,see,VERB,5,5,34.54,-34.54
3360,is,VERB,7,7,48.36,-48.36
3367,i,VERB,4,-4,9.59,9.59
3391,is,VERB,7,7,48.36,-48.36
3397,Deified,VERB,33,33,227.99,227.99
3431,is,VERB,7,7,48.36,-48.36
3434,is,VERB,7,7,48.36,-48.36
3468,related,VERB,23,23,158.90,-158.90
3487,representing,VERB,50,-50,345.44,345.44
3515,i,VERB,4,-4,9.59,9.59
3594,came,VERB,20,-20,138.18,-138.18
3608,will,VERB,28,-28,193.45,193.45
3610,call,VERB,24,-24,165.81,165.81
3618,formed,VERB,35,35,241.81,241.81
3657,included,VERB,39,39,269.44,269.44
3663,ii,VERB,8,-8,55.27,55.27
3674,will,VERB,28,-28,193.45,193.45
3675,form,VERB,28,-28,193.45,193.45
3686,will,VERB,28,-28,193.45,193.45
3687,form,VERB,28,-28,193.45,193.45
3695,joined,VERB,33,33,227.99,227.99
3697,ii,VERB,8,-8,55.27,55.27
3718,lived,VERB,33,33,227.99,227.99
3723,called,VERB,31,31,214.17,-214.17
3730,quoted,VERB,35,35,241.81,241.81
3751,called,VERB,31,31,214.17,-214.17
3780,was,VERB,15,15,103.63,103.63
3914,diminished,VERB,43,43,297.08,297.08
4043,acting,VERB,29,29,200.35,-200.35
4217,meant,VERB,15,15,103.63,103.63
4303,ii,VERB,8,-8,55.27,55.27
4311,identified,VERB,40,-40,276.35,-276.35
4347,called,VERB,31,31,214.17,-214.17
4417,are,VERB,8,-8,55.27,55.27
4429,said,VERB,15,15,103.63,103.63
4431,be,VERB,15,15,16.48,-16.48
4502,invented,VERB,32,-32,221.08,221.08
4528,be,VERB,15,15,16.48,-16.48
4586,opposed,VERB,42,-42,290.17,-290.17
4588,ii,VERB,8,-8,55.27,55.27
4600,am,VERB,11,11,76.00,76.00
4605,is,VERB,7,7,48.36,-48.36
4616,becomes,VERB,39,39,269.44,269.44
4623,reproved,VERB,49,49,338.53,-338.53
4648,according,VERB,50,-50,345.44,345.44
4650,i,VERB,4,-4,9.59,9.59
4674,called,VERB,31,31,214.17,-214.17
4706,were,VERB,17,17,117.45,117.45
4712,Dethroned,VERB,29,29,200.35,-200.35
4713,will,VERB,28,-28,193.45,193.45
4714,be,VERB,15,15,16.48,-16.48
4715,ii,VERB,8,-8,55.27,55.27
4725,surrounded,VERB,41,41,283.26,283.26
4777,is,VERB,7,7,48.36,-48.36
4841,have,VERB,22,-22,50.66,-50.66
4842,ignored,VERB,33,33,227.99,227.99
4844,Concealed,VERB,38,-38,262.53,-262.53
4870,blended,VERB,37,37,255.62,255.62
4906,is,VERB,7,7,48.36,-48.36
4978,born,VERB,24,-24,165.81,165.81
5059,could,VERB,29,29,200.35,-200.35
5060,live,VERB,27,27,186.54,-186.54
5067,nursed,VERB,22,-22,151.99,151.99
5072,spreads,VERB,33,33,227.99,227.99
5082,breaks,VERB,41,41,283.26,283.26
5085,Walking,VERB,53,53,366.16,-366.16
5110,quoted,VERB,35,35,241.81,241.81
5137,quoted,VERB,35,35,241.81,241.81
5141,quoted,VERB,35,35,241.81,241.81
5153,is,VERB,7,7,48.36,-48.36
5156,is,VERB,7,7,48.36,-48.36
5175,refused,VERB,32,-32,221.08,221.08
5177,create,VERB,18,-18,124.36,-124.36
5178,ii,VERB,8,-8,55.27,55.27
5204,means,VERB,17,17,117.45,117.45
5219,is,VERB,7,7,48.36,-48.36
5245,acts,VERB,14,-14,96.72,-96.72
5276,concealed,VERB,38,-38,262.53,-262.53
5399,see,VERB,5,5,34.54,-34.54
5421,conceived,VERB,48,-48,331.62,331.62
5435,were,VERB,17,17,117.45,117.45
5449,named,VERB,20,-20,138.18,-138.18
5487,anointed,VERB,21,21,145.08,145.08
5561,quoted,VERB,35,35,241.81,241.81
5562,ii,VERB,8,-8,55.27,55.27
5575,conceal,VERB,31,31,214.17,-214.17
5614,s,VERB,3,3,20.73,-20.73
5871,fashioned,VERB,36,-36,248.72,-248.72
5878,creates,VERB,21,21,145.08,145.08
5899,contains,VERB,25,25,172.72,-172.72
5929,filled,VERB,36,-36,248.72,-248.72
5936,concealed,VERB,38,-38,262.53,-262.53
5944,becoming,VERB,53,53,366.16,-366.16
5953,created,VERB,24,-24,165.81,165.81
5961,is,VERB,7,7,48.36,-48.36
5968,is,VERB,7,7,48.36,-48.36
5977,is,VERB,7,7,48.36,-48.36
6008,Unconditioned,VERB,47,47,324.71,-324.71
6016,merged,VERB,34,-34,234.90,-234.90
6045,is,VERB,7,7,48.36,-48.36
6091,are,VERB,8,-8,55.27,55.27
6104,explained,VERB,54,-54,373.07,373.07
6120,is,VERB,7,7,48.36,-48.36
6134,used,VERB,15,15,103.63,103.63
6144,are,VERB,8,-8,55.27,55.27
6149,i,VERB,4,-4,9.59,9.59
6160,are,VERB,8,-8,55.27,55.27
6163,are,VERB,8,-8,55.27,55.27
6169,are,VERB,8,-8,55.27,55.27
6229,truths,VERB,19,19,131.27,131.27
6230,given,VERB,34,-34,234.90,-234.90
6297,concealing,VERB,49,49,338.53,-338.53
6388,awakening,VERB,51,51,352.35,-352.35
6487,s,VERB,3,3,20.73,-20.73
6562,s,VERB,3,3,20.73,-20.73
6565,create,VERB,18,-18,124.36,-124.36
6572,concerning,VERB,47,47,324.71,-324.71
6616,rejects,VERB,36,-36,248.72,-248.72
6647,is,VERB,7,7,48.36,-48.36
6707,quoted,VERB,35,35,241.81,241.81
6708,ii,VERB,8,-8,55.27,55.27
6717,dwells,VERB,34,-34,234.90,-234.90
6735,walking,VERB,53,53,366.16,-366.16
6739,snake,VERB,24,-24,165.81,165.81
6779,is,VERB,7,7,48.36,-48.36
6782,is,VERB,7,7,48.36,-48.36
6817,s,VERB,3,3,20.73,-20.73
6837,creating,VERB,35,35,241.81,241.81
6950,churches,VERB,38,-38,262.53,-262.53
6970,transformed,VERB,48,-48,331.62,331.62
6981,quoted,VERB,35,35,241.81,241.81
6982,i,VERB,4,-4,9.59,9.59
6988,depends,VERB,32,-32,221.08,221.08
7002,applied,VERB,46,-46,317.80,317.80
7004,ii,VERB,8,-8,55.27,55.27
7016,means,VERB,17,17,117.45,117.45
7023,s,VERB,3,3,20.73,-20.73
7043,keep,VERB,31,31,214.17,-214.17
7064,become,VERB,36,-36,248.72,-248.72
7077,quoted,VERB,35,35,241.81,241.81
7087,feed,VERB,19,19,131.27,131.27
7119,descended,VERB,34,-34,234.90,-234.90
7123,conferred,VERB,42,-42,290.17,-290.17
7140,becomes,VERB,39,39,269.44,269.44
7162,called,VERB,31,31,214.17,-214.17
7165,called,VERB,31,31,214.17,-214.17
7176,ruined,VERB,23,23,158.90,-158.90
7194,quoted,VERB,35,35,241.81,241.81
7195,ii,VERB,8,-8,55.27,55.27
7221,thought,VERB,30,-30,207.26,207.26
7223,be,VERB,15,15,16.48,-16.48
7228,reviews,VERB,39,39,269.44,269.44
7242,regarded,VERB,38,-38,262.53,-262.53
7247,peopled,VERB,44,-44,303.99,303.99
7263,is,VERB,7,7,48.36,-48.36
