Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
26,and,CONJ,10,-10,17.92,17.92
36,and,CONJ,10,-10,17.92,17.92
49,or,CONJ,8,-8,55.27,55.27
64,or,CONJ,8,-8,55.27,55.27
134,and,CONJ,10,-10,17.92,17.92
145,and,CONJ,10,-10,17.92,17.92
177,And,CONJ,10,-10,17.92,17.92
217,And,CONJ,10,-10,17.92,17.92
226,And,CONJ,10,-10,17.92,17.92
249,And,CONJ,10,-10,17.92,17.92
260,And,CONJ,10,-10,17.92,17.92
265,And,CONJ,10,-10,17.92,17.92
291,and,CONJ,10,-10,17.92,17.92
298,and,CONJ,10,-10,17.92,17.92
305,and,CONJ,10,-10,17.92,17.92
321,and,CONJ,10,-10,17.92,17.92
332,and,CONJ,10,-10,17.92,17.92
355,and,CONJ,10,-10,17.92,17.92
386,and,CONJ,10,-10,17.92,17.92
393,And,CONJ,10,-10,17.92,17.92
446,and,CONJ,10,-10,17.92,17.92
455,Or,CONJ,8,-8,55.27,55.27
476,or,CONJ,8,-8,55.27,55.27
490,And,CONJ,10,-10,17.92,17.92
497,and,CONJ,10,-10,17.92,17.92
509,and,CONJ,10,-10,17.92,17.92
513,and,CONJ,10,-10,17.92,17.92
525,or,CONJ,8,-8,55.27,55.27
531,and,CONJ,10,-10,17.92,17.92
537,and,CONJ,10,-10,17.92,17.92
543,and,CONJ,10,-10,17.92,17.92
570,and,CONJ,10,-10,17.92,17.92
589,And,CONJ,10,-10,17.92,17.92
598,and,CONJ,10,-10,17.92,17.92
636,and,CONJ,10,-10,17.92,17.92
653,nor,CONJ,10,-10,69.09,69.09
693,and,CONJ,10,-10,17.92,17.92
708,and,CONJ,10,-10,17.92,17.92
771,and,CONJ,10,-10,17.92,17.92
798,and,CONJ,10,-10,17.92,17.92
815,and,CONJ,10,-10,17.92,17.92
844,and,CONJ,10,-10,17.92,17.92
853,and,CONJ,10,-10,17.92,17.92
868,and,CONJ,10,-10,17.92,17.92
916,nor,CONJ,10,-10,69.09,69.09
964,and,CONJ,10,-10,17.92,17.92
971,and,CONJ,10,-10,17.92,17.92
973,and,CONJ,10,-10,17.92,17.92
992,and,CONJ,10,-10,17.92,17.92
999,and,CONJ,10,-10,17.92,17.92
1021,and,CONJ,10,-10,17.92,17.92
1054,and,CONJ,10,-10,17.92,17.92
1072,and,CONJ,10,-10,17.92,17.92
1079,and,CONJ,10,-10,17.92,17.92
1128,but,CONJ,20,-20,138.18,-138.18
1153,and,CONJ,10,-10,17.92,17.92
1162,But,CONJ,20,-20,138.18,-138.18
1175,and,CONJ,10,-10,17.92,17.92
1191,or,CONJ,8,-8,55.27,55.27
1195,nor,CONJ,10,-10,69.09,69.09
1200,or,CONJ,8,-8,55.27,55.27
1237,and,CONJ,10,-10,17.92,17.92
1242,and,CONJ,10,-10,17.92,17.92
1299,and,CONJ,10,-10,17.92,17.92
1339,and,CONJ,10,-10,17.92,17.92
1376,but,CONJ,20,-20,138.18,-138.18
1383,and,CONJ,10,-10,17.92,17.92
1389,and,CONJ,10,-10,17.92,17.92
1411,and,CONJ,10,-10,17.92,17.92
1490,and,CONJ,10,-10,17.92,17.92
1493,and,CONJ,10,-10,17.92,17.92
1583,and,CONJ,10,-10,17.92,17.92
1627,and,CONJ,10,-10,17.92,17.92
1689,and,CONJ,10,-10,17.92,17.92
1712,but,CONJ,20,-20,138.18,-138.18
1719,and,CONJ,10,-10,17.92,17.92
1739,and,CONJ,10,-10,17.92,17.92
1759,and,CONJ,10,-10,17.92,17.92
1803,And,CONJ,10,-10,17.92,17.92
1849,and,CONJ,10,-10,17.92,17.92
1884,and,CONJ,10,-10,17.92,17.92
1943,neither,CONJ,18,-18,124.36,-124.36
1945,nor,CONJ,10,-10,69.09,69.09
1967,nor,CONJ,10,-10,69.09,69.09
1976,but,CONJ,20,-20,138.18,-138.18
1990,and,CONJ,10,-10,17.92,17.92
1999,And,CONJ,10,-10,17.92,17.92
2017,but,CONJ,20,-20,138.18,-138.18
2038,or,CONJ,8,-8,55.27,55.27
2062,and,CONJ,10,-10,17.92,17.92
2110,and,CONJ,10,-10,17.92,17.92
2145,and,CONJ,10,-10,17.92,17.92
2150,and,CONJ,10,-10,17.92,17.92
2168,and,CONJ,10,-10,17.92,17.92
2227,and,CONJ,10,-10,17.92,17.92
2239,or,CONJ,8,-8,55.27,55.27
2290,and,CONJ,10,-10,17.92,17.92
2296,and,CONJ,10,-10,17.92,17.92
2309,and,CONJ,10,-10,17.92,17.92
2320,and,CONJ,10,-10,17.92,17.92
2363,neither,CONJ,18,-18,124.36,-124.36
2404,and,CONJ,10,-10,17.92,17.92
2434,and,CONJ,10,-10,17.92,17.92
2454,and,CONJ,10,-10,17.92,17.92
2479,and,CONJ,10,-10,17.92,17.92
2548,But,CONJ,20,-20,138.18,-138.18
2553,and,CONJ,10,-10,17.92,17.92
2593,or,CONJ,8,-8,55.27,55.27
2598,or,CONJ,8,-8,55.27,55.27
2601,and,CONJ,10,-10,17.92,17.92
2614,and,CONJ,10,-10,17.92,17.92
2627,and,CONJ,10,-10,17.92,17.92
2647,and,CONJ,10,-10,17.92,17.92
2656,and,CONJ,10,-10,17.92,17.92
2697,and,CONJ,10,-10,17.92,17.92
2705,and,CONJ,10,-10,17.92,17.92
2726,or,CONJ,8,-8,55.27,55.27
2735,and,CONJ,10,-10,17.92,17.92
2756,and,CONJ,10,-10,17.92,17.92
2761,and,CONJ,10,-10,17.92,17.92
2787,and,CONJ,10,-10,17.92,17.92
2789,or,CONJ,8,-8,55.27,55.27
2805,or,CONJ,8,-8,55.27,55.27
2836,and,CONJ,10,-10,17.92,17.92
2844,and,CONJ,10,-10,17.92,17.92
2888,and,CONJ,10,-10,17.92,17.92
2904,and,CONJ,10,-10,17.92,17.92
2910,and,CONJ,10,-10,17.92,17.92
2932,and,CONJ,10,-10,17.92,17.92
2949,and,CONJ,10,-10,17.92,17.92
2994,nor,CONJ,10,-10,69.09,69.09
2999,and,CONJ,10,-10,17.92,17.92
3023,and,CONJ,10,-10,17.92,17.92
3027,and,CONJ,10,-10,17.92,17.92
3057,and,CONJ,10,-10,17.92,17.92
3066,and,CONJ,10,-10,17.92,17.92
3075,or,CONJ,8,-8,55.27,55.27
3094,but,CONJ,20,-20,138.18,-138.18
3113,and,CONJ,10,-10,17.92,17.92
3122,and,CONJ,10,-10,17.92,17.92
3127,and,CONJ,10,-10,17.92,17.92
3191,and,CONJ,10,-10,17.92,17.92
3206,and,CONJ,10,-10,17.92,17.92
3215,and,CONJ,10,-10,17.92,17.92
3228,and,CONJ,10,-10,17.92,17.92
3260,and,CONJ,10,-10,17.92,17.92
3295,and,CONJ,10,-10,17.92,17.92
3301,but,CONJ,20,-20,138.18,-138.18
3320,and,CONJ,10,-10,17.92,17.92
3378,and,CONJ,10,-10,17.92,17.92
3387,or,CONJ,8,-8,55.27,55.27
3428,and,CONJ,10,-10,17.92,17.92
3468,and,CONJ,10,-10,17.92,17.92
3493,and,CONJ,10,-10,17.92,17.92
3511,and,CONJ,10,-10,17.92,17.92
3515,and,CONJ,10,-10,17.92,17.92
3532,and,CONJ,10,-10,17.92,17.92
3587,and,CONJ,10,-10,17.92,17.92
3597,and,CONJ,10,-10,17.92,17.92
3602,and,CONJ,10,-10,17.92,17.92
3615,and,CONJ,10,-10,17.92,17.92
3637,and,CONJ,10,-10,17.92,17.92
3655,and,CONJ,10,-10,17.92,17.92
3668,and,CONJ,10,-10,17.92,17.92
3676,and,CONJ,10,-10,17.92,17.92
3718,and,CONJ,10,-10,17.92,17.92
3740,nor,CONJ,10,-10,69.09,69.09
3751,But,CONJ,20,-20,138.18,-138.18
3819,and,CONJ,10,-10,17.92,17.92
3830,and,CONJ,10,-10,17.92,17.92
3847,and,CONJ,10,-10,17.92,17.92
3852,and,CONJ,10,-10,17.92,17.92
3872,but,CONJ,20,-20,138.18,-138.18
3895,and,CONJ,10,-10,17.92,17.92
3906,or,CONJ,8,-8,55.27,55.27
3925,and,CONJ,10,-10,17.92,17.92
3934,and,CONJ,10,-10,17.92,17.92
3963,and,CONJ,10,-10,17.92,17.92
3998,or,CONJ,8,-8,55.27,55.27
4006,or,CONJ,8,-8,55.27,55.27
4039,but,CONJ,20,-20,138.18,-138.18
4044,and,CONJ,10,-10,17.92,17.92
4068,and,CONJ,10,-10,17.92,17.92
4097,and,CONJ,10,-10,17.92,17.92
4113,and,CONJ,10,-10,17.92,17.92
4152,and,CONJ,10,-10,17.92,17.92
4159,and,CONJ,10,-10,17.92,17.92
4188,and,CONJ,10,-10,17.92,17.92
4199,and,CONJ,10,-10,17.92,17.92
4203,and,CONJ,10,-10,17.92,17.92
4216,and,CONJ,10,-10,17.92,17.92
4221,and,CONJ,10,-10,17.92,17.92
4236,or,CONJ,8,-8,55.27,55.27
4254,and,CONJ,10,-10,17.92,17.92
4285,and,CONJ,10,-10,17.92,17.92
4336,and,CONJ,10,-10,17.92,17.92
4350,and,CONJ,10,-10,17.92,17.92
4366,or,CONJ,8,-8,55.27,55.27
4380,and,CONJ,10,-10,17.92,17.92
4396,and,CONJ,10,-10,17.92,17.92
4430,or,CONJ,8,-8,55.27,55.27
4456,and,CONJ,10,-10,17.92,17.92
4459,and,CONJ,10,-10,17.92,17.92
4517,and,CONJ,10,-10,17.92,17.92
4528,and,CONJ,10,-10,17.92,17.92
4531,and,CONJ,10,-10,17.92,17.92
4534,and,CONJ,10,-10,17.92,17.92
4547,and,CONJ,10,-10,17.92,17.92
4556,and,CONJ,10,-10,17.92,17.92
4558,and,CONJ,10,-10,17.92,17.92
4583,or,CONJ,8,-8,55.27,55.27
4609,and,CONJ,10,-10,17.92,17.92
4621,and,CONJ,10,-10,17.92,17.92
4635,and,CONJ,10,-10,17.92,17.92
4642,and,CONJ,10,-10,17.92,17.92
4651,and,CONJ,10,-10,17.92,17.92
4717,and,CONJ,10,-10,17.92,17.92
4735,and,CONJ,10,-10,17.92,17.92
4793,and,CONJ,10,-10,17.92,17.92
4828,but,CONJ,20,-20,138.18,-138.18
4834,and,CONJ,10,-10,17.92,17.92
4850,and,CONJ,10,-10,17.92,17.92
4858,and,CONJ,10,-10,17.92,17.92
4875,But,CONJ,20,-20,138.18,-138.18
4888,and,CONJ,10,-10,17.92,17.92
