Sequence,Complexity,Mode,Words,T1_Raw,T1_Plot,T2_Raw,T2_Plot
0,Simple,Narrative,19,450,-450,2760.21,-2760.21
1,Simple,Conversation,12,266,-266,1712.37,-1712.37
2,Simple,Conversation,14,267,267,1822.55,-1822.55
3,Simple,Narrative,2,12,-12,82.91,-82.91
4,Simple,Narrative,2,22,-22,100.82,-100.82
5,Simple,Narrative,5,166,-166,1109.56,1109.56
7,Simple,Narrative,15,386,-386,2655.19,2655.19
9,Simple,Narrative,6,100,-100,599.57,599.57
10,Simple,Narrative,4,40,-40,258.31,-258.31
11,Complex,Narrative,22,337,337,1972.54,-1972.54
12,Simple,Narrative,5,109,109,660.82,-660.82
13,Simple,Narrative,4,54,-54,335.78,335.78
14,Simple,Narrative,5,96,-96,625.95,625.95
15,Simple,Narrative,4,89,89,559.54,559.54
16,Simple,Narrative,4,80,-80,515.41,515.41
17,Simple,Narrative,2,57,57,393.80,393.80
18,Simple,Narrative,3,60,-60,396.48,-396.48
19,Simple,Narrative,4,114,-114,787.60,787.60
20,Complex,Narrative,19,487,487,3325.52,3325.52
21,Simple,Narrative,5,95,95,635.33,635.33
22,Simple,Narrative,4,93,93,550.28,-550.28
23,Simple,Narrative,5,90,-90,510.30,-510.30
24,Simple,Narrative,20,358,-358,2282.71,-2282.71
25,Simple,Narrative,2,53,53,348.12,-348.12
26,Simple,Narrative,5,79,79,545.79,545.79
27,Simple,Narrative,2,34,-34,234.90,-234.90
28,Simple,Narrative,5,78,-78,446.65,-446.65
29,Simple,Narrative,4,105,105,725.42,725.42
30,Simple,Narrative,4,97,97,652.11,-652.11
31,Simple,Narrative,31,579,579,3277.53,3277.53
32,Simple,Narrative,9,208,-208,1288.64,-1288.64
33,Simple,Narrative,5,92,-92,566.39,-566.39
34,Simple,Narrative,2,66,-66,437.93,437.93
35,Compound/Complex,Narrative,57,978,-978,5758.65,-5758.65
36,Simple,Narrative,4,96,-96,612.07,-612.07
37,Simple,Narrative,6,121,121,835.96,835.96
38,Simple,Narrative,23,469,469,2935.35,2935.35
39,Simple,Narrative,11,204,-204,1381.42,1381.42
40,Simple,Narrative,21,396,-396,2553.09,2553.09
41,Simple,Narrative,6,103,103,600.12,-600.12
42,Compound/Complex,Conversation,320,5068,-5068,30242.55,-30242.55
43,Complex,Narrative,44,801,801,4505.93,4505.93
44,Simple,Narrative,3,66,-66,437.93,437.93
45,Simple,Narrative,4,118,-118,797.19,797.19
46,Simple,Narrative,5,91,91,628.70,-628.70
47,Simple,Narrative,14,267,267,1613.15,1613.15
48,Complex,Narrative,84,1384,-1384,8575.84,8575.84
49,Complex,Narrative,2,39,39,251.40,251.40
50,Simple,Narrative,9,202,-202,1354.34,-1354.34
51,Compound/Complex,Narrative,105,1664,-1664,9440.13,-9440.13
52,Simple,Narrative,4,85,85,569.20,569.20
53,Complex,Narrative,20,424,-424,2751.96,2751.96
54,Simple,Narrative,4,74,-74,493.20,493.20
55,Simple,Narrative,6,115,115,720.32,-720.32
56,Simple,Narrative,3,75,75,518.16,-518.16
57,Simple,Narrative,9,142,-142,882.85,-882.85
58,Simple,Narrative,4,89,89,596.84,-596.84
59,Simple,Narrative,12,135,135,588.11,-588.11
60,Complex,Narrative,17,312,-312,1926.24,-1926.24
61,Simple,Narrative,4,93,93,568.32,-568.32
62,Simple,Narrative,8,162,-162,1026.98,-1026.98
63,Simple,Narrative,4,81,81,522.32,-522.32
64,Simple,Narrative,4,84,-84,562.29,-562.29
65,Simple,Narrative,2,33,33,227.99,227.99
66,Simple,Narrative,7,118,-118,666.85,-666.85
67,Simple,Narrative,5,107,107,670.02,-670.02
68,Simple,Narrative,13,220,-220,1325.14,1325.14
69,Simple,Narrative,2,45,45,292.85,-292.85
70,Simple,Narrative,3,58,-58,382.66,-382.66
71,Simple,Narrative,2,33,33,227.99,227.99
72,Simple,Narrative,9,137,137,821.27,821.27
73,Simple,Narrative,4,49,49,291.51,291.51
74,Compound/Complex,Narrative,109,2005,2005,11813.77,11813.77
75,Simple,Narrative,59,1245,1245,7881.70,7881.70
76,Simple,Narrative,52,926,-926,5321.64,5321.64
77,Simple,Narrative,10,153,153,964.81,-964.81
78,Simple,Narrative,9,154,-154,953.67,953.67
79,Simple,Narrative,5,65,65,319.54,319.54
80,Complex,Conversation,14,184,-184,1121.03,1121.03
81,Simple,Conversation,7,87,87,572.09,-572.09
82,Simple,Narrative,4,47,47,250.52,-250.52
83,Compound/Complex,Narrative,307,5246,-5246,32126.60,-32126.60
84,Simple,Narrative,3,54,-54,355.03,355.03
85,Simple,Narrative,2,67,67,462.89,-462.89
86,Simple,Narrative,7,133,133,881.57,881.57
87,Simple,Narrative,8,151,151,1005.93,1005.93
88,Simple,Narrative,2,54,-54,373.07,373.07
89,Simple,Narrative,12,212,-212,1390.07,-1390.07
90,Simple,Narrative,12,179,179,1163.29,1163.29
91,Simple,Narrative,2,73,73,504.34,-504.34
92,Simple,Narrative,2,90,-90,621.79,621.79
93,Compound/Complex,Narrative,117,2089,2089,12895.73,12895.73
94,Simple,Narrative,5,109,109,715.76,715.76
95,Simple,Narrative,29,601,601,3878.02,-3878.02
96,Simple,Narrative,7,124,-124,838.64,-838.64
97,Simple,Narrative,5,85,85,587.24,587.24
98,Simple,Narrative,5,53,53,254.68,-254.68
99,Simple,Narrative,4,93,93,620.42,-620.42
100,Simple,Narrative,5,94,-94,612.13,-612.13
101,Simple,Narrative,5,59,59,407.62,407.62
102,Simple,Narrative,2,45,45,310.89,-310.89
103,Simple,Narrative,4,81,81,530.63,-530.63
104,Simple,Narrative,7,99,99,645.83,645.83
