Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
174,not,ADV,6,-6,15.83,15.83
505,when,ADV,17,17,117.45,117.45
506,once,ADV,14,-14,96.72,-96.72
522,better,ADV,23,23,158.90,-158.90
549,well,ADV,25,25,172.72,-172.72
567,rather,ADV,18,-18,124.36,-124.36
634,clearly,ADV,30,-30,207.26,207.26
649,quite,ADV,30,-30,207.26,207.26
658,therefore,ADV,32,-32,221.08,221.08
670,as,ADV,5,5,14.45,-14.45
671,sequentially,ADV,52,-52,359.26,359.26
687,obviously,ADV,54,-54,373.07,373.07
702,otherwise,ADV,32,-32,221.08,221.08
723,so,ADV,6,-6,41.45,41.45
759,not,ADV,6,-6,15.83,15.83
768,together,ADV,28,-28,193.45,193.45
776,therein,ADV,18,-18,124.36,-124.36
785,however,ADV,39,39,269.44,269.44
798,Together,ADV,28,-28,193.45,193.45
801,most,ADV,16,-16,110.54,-110.54
806,very,ADV,21,21,145.08,145.08
818,not,ADV,6,-6,15.83,15.83
841,therefore,ADV,32,-32,221.08,221.08
843,not,ADV,6,-6,15.83,15.83
854,either,ADV,16,-16,110.54,-110.54
875,entirely,ADV,21,21,145.08,145.08
891,makes—possibly,ADV,78,-78,538.88,-538.88
894,so,ADV,6,-6,41.45,41.45
903,statements—probably,ADV,82,-82,566.52,-566.52
918,here,ADV,11,11,76.00,76.00
920,everywhere,ADV,43,43,297.08,297.08
934,not,ADV,6,-6,15.83,15.83
945,much,ADV,26,-26,179.63,179.63
949,certainly,ADV,30,-30,207.26,207.26
962,entirely,ADV,21,21,145.08,145.08
974,best,ADV,19,19,131.27,131.27
991,rather,ADV,18,-18,124.36,-124.36
1008,even,ADV,19,19,131.27,131.27
1016,more,ADV,18,-18,124.36,-124.36
1017,closely,ADV,29,29,200.35,-200.35
1036,as,ADV,5,5,14.45,-14.45
1037,far,ADV,18,-18,124.36,-124.36
1047,most,ADV,16,-16,110.54,-110.54
1074,not,ADV,6,-6,15.83,15.83
1083,often,ADV,18,-18,124.36,-124.36
1121,yet,ADV,2,-2,13.82,13.82
1135,well,ADV,25,25,172.72,-172.72
1181,so,ADV,6,-6,41.45,41.45
1206,very,ADV,21,21,145.08,145.08
1263,very,ADV,21,21,145.08,145.08
1293,rather,ADV,18,-18,124.36,-124.36
1305,therefore,ADV,32,-32,221.08,221.08
1321,still,ADV,22,-22,151.99,151.99
1343,even,ADV,19,19,131.27,131.27
1358,strictly,ADV,29,29,200.35,-200.35
1376,preëminently,ADV,45,45,310.89,-310.89
1380,preëminently,ADV,45,45,310.89,-310.89
1389,so,ADV,6,-6,41.45,41.45
1398,so,ADV,6,-6,41.45,41.45
1399,incongruously,ADV,59,59,407.62,407.62
1402,yet,ADV,2,-2,13.82,13.82
1407,so,ADV,6,-6,41.45,41.45
1408,very,ADV,21,21,145.08,145.08
1434,fully,ADV,30,-30,207.26,207.26
1461,even,ADV,19,19,131.27,131.27
1483,admirably,ADV,49,49,338.53,-338.53
1503,even,ADV,19,19,131.27,131.27
1511,almost,ADV,25,25,172.72,-172.72
1537,Yet,ADV,2,-2,13.82,13.82
1549,ever,ADV,22,-22,151.99,151.99
1560,systematically,ADV,48,-48,331.62,331.62
1568,even,ADV,19,19,131.27,131.27
1598,best,ADV,19,19,131.27,131.27
1610,certainly,ADV,30,-30,207.26,207.26
1611,more,ADV,18,-18,124.36,-124.36
1655,back,ADV,40,-40,276.35,-276.35
1664,never,ADV,24,-24,165.81,165.81
1688,not,ADV,6,-6,15.83,15.83
1701,especially,ADV,46,-46,317.80,317.80
1713,so,ADV,6,-6,41.45,41.45
1714,not,ADV,6,-6,15.83,15.83
1721,only,ADV,12,-12,82.91,-82.91
1736,not,ADV,6,-6,15.83,15.83
1750,how,ADV,17,17,117.45,117.45
1751,instead,ADV,19,19,131.27,131.27
1785,solely,ADV,21,21,145.08,145.08
1812,even,ADV,19,19,131.27,131.27
1817,readily,ADV,25,25,172.72,-172.72
1828,immeasurably,ADV,61,61,421.43,421.43
1829,higher,ADV,30,-30,207.26,207.26
1838,not,ADV,6,-6,15.83,15.83
1852,rather,ADV,18,-18,124.36,-124.36
1855,Moreover,ADV,42,-42,290.17,-290.17
1886,Indeed,ADV,20,-20,138.18,-138.18
1936,once,ADV,14,-14,96.72,-96.72
1937,more,ADV,18,-18,124.36,-124.36
1940,even,ADV,19,19,131.27,131.27
1966,as,ADV,5,5,14.45,-14.45
1967,well,ADV,25,25,172.72,-172.72
2003,as,ADV,5,5,14.45,-14.45
2004,well,ADV,25,25,172.72,-172.72
2017,even,ADV,19,19,131.27,131.27
2028,however,ADV,39,39,269.44,269.44
2042,vehemently,ADV,41,41,283.26,283.26
2087,so,ADV,6,-6,41.45,41.45
2101,either,ADV,16,-16,110.54,-110.54
2112,when,ADV,17,17,117.45,117.45
2129,again,ADV,22,-22,151.99,151.99
2158,never,ADV,24,-24,165.81,165.81
2187,again,ADV,22,-22,151.99,151.99
2189,contemptuously,ADV,61,61,421.43,421.43
2209,not,ADV,6,-6,15.83,15.83
2234,either,ADV,16,-16,110.54,-110.54
2235,Finally,ADV,33,33,227.99,227.99
2247,not,ADV,6,-6,15.83,15.83
2268,so,ADV,6,-6,41.45,41.45
2274,only,ADV,12,-12,82.91,-82.91
2278,yet,ADV,2,-2,13.82,13.82
2287,now,ADV,15,15,103.63,103.63
2312,even,ADV,19,19,131.27,131.27
2319,not,ADV,6,-6,15.83,15.83
2321,Thus,ADV,13,13,89.81,89.81
2360,So,ADV,6,-6,41.45,41.45
2367,else,ADV,12,-12,82.91,-82.91
2384,even,ADV,19,19,131.27,131.27
2394,indeed,ADV,20,-20,138.18,-138.18
2413,Truly,ADV,18,-18,124.36,-124.36
2459,hopelessly,ADV,42,-42,290.17,-290.17
2503,only,ADV,12,-12,82.91,-82.91
2504,now,ADV,15,15,103.63,103.63
2527,loudly,ADV,28,-28,193.45,193.45
2537,then,ADV,8,-8,55.27,55.27
2550,even,ADV,19,19,131.27,131.27
2562,ever,ADV,22,-22,151.99,151.99
2575,repeatedly,ADV,37,37,255.62,255.62
2577,so,ADV,6,-6,41.45,41.45
2590,far,ADV,18,-18,124.36,-124.36
2603,even,ADV,19,19,131.27,131.27
2610,always,ADV,24,-24,165.81,165.81
2612,more,ADV,18,-18,124.36,-124.36
2614,less,ADV,14,-14,96.72,-96.72
2625,generally,ADV,37,37,255.62,255.62
2631,also,ADV,15,15,103.63,103.63
2650,indeed,ADV,20,-20,138.18,-138.18
2652,not,ADV,6,-6,15.83,15.83
2668,then,ADV,8,-8,55.27,55.27
2706,not,ADV,6,-6,15.83,15.83
2754,strictly,ADV,29,29,200.35,-200.35
2790,only,ADV,12,-12,82.91,-82.91
2791,now,ADV,15,15,103.63,103.63
2810,therefore,ADV,32,-32,221.08,221.08
2822,best,ADV,19,19,131.27,131.27
2851,however,ADV,39,39,269.44,269.44
2853,not,ADV,6,-6,15.83,15.83
2866,ago,ADV,17,17,117.45,117.45
2869,not,ADV,6,-6,15.83,15.83
2913,when,ADV,17,17,117.45,117.45
2958,so,ADV,6,-6,41.45,41.45
2967,How,ADV,17,17,117.45,117.45
2971,most,ADV,16,-16,110.54,-110.54
2994,ever,ADV,22,-22,151.99,151.99
3006,Thus,ADV,13,13,89.81,89.81
3010,not,ADV,6,-6,15.83,15.83
3011,altogether,ADV,37,37,255.62,255.62
3038,away,ADV,14,-14,96.72,-96.72
3045,rather,ADV,18,-18,124.36,-124.36
3059,not,ADV,6,-6,15.83,15.83
3108,first,ADV,24,-24,165.81,165.81
3110,Too,ADV,7,7,48.36,-48.36
3121,too,ADV,7,7,48.36,-48.36
3138,conveniently,ADV,46,-46,317.80,317.80
3143,not,ADV,6,-6,15.83,15.83
3144,only,ADV,12,-12,82.91,-82.91
3151,also,ADV,15,15,103.63,103.63
3185,events—were,ADV,40,-40,276.35,-276.35
3190,never,ADV,24,-24,165.81,165.81
3209,sadly,ADV,18,-18,124.36,-124.36
3227,presently,ADV,33,33,227.99,227.99
3257,therefore,ADV,32,-32,221.08,221.08
3271,only,ADV,12,-12,82.91,-82.91
3283,openly,ADV,26,-26,179.63,179.63
3288,enigmatically,ADV,59,59,407.62,407.62
3334,so,ADV,6,-6,41.45,41.45
3348,already,ADV,23,23,158.90,-158.90
3362,rather,ADV,18,-18,124.36,-124.36
3378,allegorically,ADV,65,65,449.07,449.07
3406,as,ADV,5,5,14.45,-14.45
3407,far,ADV,18,-18,124.36,-124.36
3444,apparently,ADV,46,-46,317.80,317.80
3464,not,ADV,6,-6,15.83,15.83
3484,Constantly,ADV,29,29,200.35,-200.35
3494,alone,ADV,15,15,103.63,103.63
3515,less,ADV,14,-14,96.72,-96.72
3518,formerly,ADV,41,41,283.26,283.26
3519,Instead,ADV,19,19,131.27,131.27
3544,most,ADV,16,-16,110.54,-110.54
3594,Even,ADV,19,19,131.27,131.27
3618,however,ADV,39,39,269.44,269.44
3629,not,ADV,6,-6,15.83,15.83
3650,justly,ADV,33,33,227.99,227.99
3662,not,ADV,6,-6,15.83,15.83
3679,blandly,ADV,38,-38,262.53,-262.53
3692,indeed,ADV,20,-20,138.18,-138.18
3695,not,ADV,6,-6,15.83,15.83
3720,much,ADV,26,-26,179.63,179.63
3727,here,ADV,11,11,76.00,76.00
3764,alone,ADV,15,15,103.63,103.63
3792,how,ADV,17,17,117.45,117.45
3821,even,ADV,19,19,131.27,131.27
3842,hardly,ADV,24,-24,165.81,165.81
3865,certainly,ADV,30,-30,207.26,207.26
3870,as,ADV,5,5,14.45,-14.45
3876,not,ADV,6,-6,15.83,15.83
3891,rather,ADV,18,-18,124.36,-124.36
3897,not,ADV,6,-6,15.83,15.83
3962,how,ADV,17,17,117.45,117.45
