Sequence,Complexity,Mode,Words,T1_Raw,T1_Plot,T2_Raw,T2_Plot
0,Simple,Conversation,28,702,-702,4413.15,4413.15
1,Simple,Narrative,4,72,-72,497.43,497.43
2,Simple,Conversation,9,169,169,1167.58,1167.58
3,Simple,Narrative,7,228,-228,1537.90,1537.90
4,Simple,Narrative,1,43,43,297.08,297.08
5,Simple,Narrative,2,26,-26,161.58,161.58
6,Simple,Narrative,2,81,81,559.61,559.61
7,Simple,Narrative,2,30,-30,207.26,207.26
8,Simple,Narrative,5,111,111,678.41,-678.41
9,Simple,Narrative,2,34,-34,234.90,-234.90
10,Simple,Narrative,4,85,85,475.76,475.76
11,Simple,Narrative,2,41,41,283.26,283.26
12,Simple,Narrative,4,63,63,323.77,323.77
13,Simple,Narrative,6,112,-112,691.25,691.25
14,Simple,Narrative,2,41,41,283.26,283.26
15,Simple,Narrative,5,136,-136,828.11,-828.11
16,Simple,Narrative,2,45,45,310.89,-310.89
17,Simple,Narrative,5,82,-82,537.54,537.54
18,Simple,Narrative,2,49,49,338.53,-338.53
19,Simple,Narrative,11,217,217,1187.77,1187.77
20,Simple,Narrative,2,44,-44,303.99,303.99
21,Simple,Narrative,4,137,137,895.33,895.33
22,Simple,Narrative,2,40,-40,276.35,-276.35
23,Simple,Narrative,9,256,-256,1569.09,1569.09
24,Simple,Narrative,2,44,-44,303.99,303.99
25,Simple,Narrative,10,180,-180,1053.11,1053.11
26,Simple,Narrative,2,48,-48,331.62,331.62
27,Simple,Narrative,8,158,-158,942.81,-942.81
28,Simple,Narrative,2,52,-52,359.26,359.26
29,Simple,Narrative,5,137,137,895.33,895.33
30,Simple,Narrative,2,59,59,407.62,407.62
31,Simple,Narrative,5,158,-158,1040.41,-1040.41
32,Simple,Narrative,2,55,55,379.98,379.98
33,Simple,Narrative,8,163,163,1014.64,-1014.64
34,Simple,Narrative,2,59,59,407.62,407.62
35,Simple,Narrative,7,140,-140,931.68,931.68
36,Simple,Narrative,2,63,63,435.25,435.25
37,Simple,Narrative,3,70,-70,409.42,409.42
38,Simple,Narrative,2,67,67,462.89,-462.89
39,Simple,Narrative,4,157,157,1084.67,-1084.67
40,Simple,Narrative,2,62,-62,428.34,-428.34
41,Simple,Narrative,4,76,-76,450.87,-450.87
42,Simple,Narrative,2,58,-58,400.71,-400.71
43,Simple,Narrative,6,134,-134,851.19,851.19
44,Simple,Narrative,2,62,-62,428.34,-428.34
45,Simple,Narrative,2,80,-80,552.70,-552.70
46,Simple,Narrative,2,66,-66,455.98,455.98
47,Simple,Conversation,7,115,115,647.75,647.75
48,Simple,Narrative,2,70,-70,483.61,483.61
49,Compound/Complex,Narrative,8,159,159,886.60,-886.60
50,Simple,Narrative,2,77,77,531.97,531.97
51,Simple,Narrative,7,181,181,1170.34,-1170.34
52,Simple,Narrative,2,73,73,504.34,-504.34
53,Simple,Narrative,4,96,-96,612.07,-612.07
54,Simple,Narrative,2,77,77,531.97,531.97
55,Simple,Narrative,5,84,-84,454.58,-454.58
56,Simple,Narrative,2,81,81,559.61,559.61
57,Simple,Narrative,2,70,-70,483.61,483.61
58,Simple,Narrative,2,85,85,587.24,587.24
59,Simple,Narrative,5,83,83,424.65,-424.65
60,Simple,Narrative,2,80,-80,552.70,-552.70
61,Simple,Narrative,6,74,-74,362.47,-362.47
62,Simple,Narrative,2,76,-76,525.07,525.07
63,Simple,Conversation,7,156,-156,966.28,-966.28
64,Simple,Narrative,5,100,-100,542.10,-542.10
65,Simple,Narrative,2,84,-84,580.34,-580.34
66,Simple,Narrative,4,67,67,351.40,351.40
67,Simple,Narrative,2,88,-88,607.97,607.97
68,Simple,Narrative,7,100,-100,513.12,513.12
69,Simple,Narrative,2,95,95,656.33,-656.33
70,Simple,Narrative,6,138,-138,856.73,-856.73
71,Simple,Narrative,2,91,91,628.70,-628.70
72,Simple,Narrative,5,100,-100,565.52,565.52
73,Simple,Narrative,2,95,95,656.33,-656.33
74,Simple,Narrative,5,146,-146,1008.68,-1008.68
75,Simple,Narrative,2,99,99,683.97,683.97
76,Simple,Narrative,6,139,139,811.54,811.54
77,Simple,Narrative,2,103,103,711.60,711.60
78,Simple,Narrative,3,75,75,466.99,-466.99
79,Simple,Narrative,2,98,-98,677.06,677.06
80,Simple,Narrative,3,69,69,425.53,425.53
81,Simple,Narrative,2,47,47,324.71,-324.71
