Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
1,OF,ADP,14,-14,22.53,-22.53
14,Of,ADP,14,-14,22.53,-22.53
19,By,ADP,14,-14,96.72,-96.72
24,Of,ADP,14,-14,22.53,-22.53
40,than,ADP,9,9,62.18,-62.18
83,in,ADP,6,-6,12.48,-12.48
86,of,ADP,14,-14,22.53,-22.53
88,in,ADP,6,-6,12.48,-12.48
93,in,ADP,6,-6,12.48,-12.48
96,in,ADP,6,-6,12.48,-12.48
99,of,ADP,14,-14,22.53,-22.53
103,of,ADP,14,-14,22.53,-22.53
136,de,ADP,7,7,48.36,-48.36
141,on,ADP,5,5,13.54,13.54
153,on,ADP,5,5,13.54,13.54
158,of,ADP,14,-14,22.53,-22.53
161,of,ADP,14,-14,22.53,-22.53
176,of,ADP,14,-14,22.53,-22.53
197,of,ADP,14,-14,22.53,-22.53
208,of,ADP,14,-14,22.53,-22.53
212,of,ADP,14,-14,22.53,-22.53
218,of,ADP,14,-14,22.53,-22.53
224,of,ADP,14,-14,22.53,-22.53
228,of,ADP,14,-14,22.53,-22.53
231,of,ADP,14,-14,22.53,-22.53
236,of,ADP,14,-14,22.53,-22.53
240,of,ADP,14,-14,22.53,-22.53
244,of,ADP,14,-14,22.53,-22.53
256,of,ADP,14,-14,22.53,-22.53
260,of,ADP,14,-14,22.53,-22.53
263,of,ADP,14,-14,22.53,-22.53
270,of,ADP,14,-14,22.53,-22.53
278,in,ADP,6,-6,12.48,-12.48
281,of,ADP,14,-14,22.53,-22.53
292,with,ADP,19,19,52.68,-52.68
295,of,ADP,14,-14,22.53,-22.53
303,from,ADP,28,-28,193.45,193.45
306,of,ADP,14,-14,22.53,-22.53
327,from,ADP,28,-28,193.45,193.45
331,of,ADP,14,-14,22.53,-22.53
334,of,ADP,14,-14,22.53,-22.53
369,on,ADP,5,5,13.54,13.54
374,with,ADP,19,19,52.68,-52.68
378,of,ADP,14,-14,22.53,-22.53
387,on,ADP,5,5,13.54,13.54
398,of,ADP,14,-14,22.53,-22.53
415,of,ADP,14,-14,22.53,-22.53
437,on,ADP,5,5,13.54,13.54
444,of,ADP,14,-14,22.53,-22.53
455,from,ADP,28,-28,193.45,193.45
466,of,ADP,14,-14,22.53,-22.53
476,from,ADP,28,-28,193.45,193.45
480,as,ADP,5,5,14.45,-14.45
483,on,ADP,5,5,13.54,13.54
488,in,ADP,6,-6,12.48,-12.48
495,by,ADP,14,-14,96.72,-96.72
499,as,ADP,5,5,14.45,-14.45
512,of,ADP,14,-14,22.53,-22.53
519,of,ADP,14,-14,22.53,-22.53
525,with,ADP,19,19,52.68,-52.68
539,of,ADP,14,-14,22.53,-22.53
542,of,ADP,14,-14,22.53,-22.53
559,of,ADP,14,-14,22.53,-22.53
579,of,ADP,14,-14,22.53,-22.53
590,of,ADP,14,-14,22.53,-22.53
595,near,ADP,10,-10,69.09,69.09
614,of,ADP,14,-14,22.53,-22.53
623,of,ADP,14,-14,22.53,-22.53
631,of,ADP,14,-14,22.53,-22.53
638,on,ADP,5,5,13.54,13.54
643,with,ADP,19,19,52.68,-52.68
649,by,ADP,14,-14,96.72,-96.72
658,on,ADP,5,5,13.54,13.54
699,in,ADP,6,-6,12.48,-12.48
704,of,ADP,14,-14,22.53,-22.53
714,of,ADP,14,-14,22.53,-22.53
720,of,ADP,14,-14,22.53,-22.53
723,of,ADP,14,-14,22.53,-22.53
729,of,ADP,14,-14,22.53,-22.53
733,of,ADP,14,-14,22.53,-22.53
738,of,ADP,14,-14,22.53,-22.53
742,in,ADP,6,-6,12.48,-12.48
759,in,ADP,6,-6,12.48,-12.48
763,of,ADP,14,-14,22.53,-22.53
767,of,ADP,14,-14,22.53,-22.53
769,into,ADP,10,-10,69.09,69.09
787,of,ADP,14,-14,22.53,-22.53
790,of,ADP,14,-14,22.53,-22.53
803,of,ADP,14,-14,22.53,-22.53
816,as,ADP,5,5,14.45,-14.45
823,as,ADP,5,5,14.45,-14.45
829,as,ADP,5,5,14.45,-14.45
833,of,ADP,14,-14,22.53,-22.53
861,at,ADP,3,3,9.13,9.13
865,at,ADP,3,3,9.13,9.13
870,on,ADP,5,5,13.54,13.54
877,between,ADP,30,-30,207.26,207.26
883,in,ADP,6,-6,12.48,-12.48
892,of,ADP,14,-14,22.53,-22.53
896,of,ADP,14,-14,22.53,-22.53
901,of,ADP,14,-14,22.53,-22.53
906,of,ADP,14,-14,22.53,-22.53
910,in,ADP,6,-6,12.48,-12.48
913,of,ADP,14,-14,22.53,-22.53
917,in,ADP,6,-6,12.48,-12.48
921,of,ADP,14,-14,22.53,-22.53
927,of,ADP,14,-14,22.53,-22.53
937,by,ADP,14,-14,96.72,-96.72
946,of,ADP,14,-14,22.53,-22.53
950,of,ADP,14,-14,22.53,-22.53
958,of,ADP,14,-14,22.53,-22.53
962,of,ADP,14,-14,22.53,-22.53
967,of,ADP,14,-14,22.53,-22.53
977,of,ADP,14,-14,22.53,-22.53
979,in,ADP,6,-6,12.48,-12.48
983,through,ADP,34,-34,234.90,-234.90
986,of,ADP,14,-14,22.53,-22.53
994,from,ADP,28,-28,193.45,193.45
1004,of,ADP,14,-14,22.53,-22.53
1015,in,ADP,6,-6,12.48,-12.48
1023,of,ADP,14,-14,22.53,-22.53
1027,in,ADP,6,-6,12.48,-12.48
1031,of,ADP,14,-14,22.53,-22.53
1048,for,ADP,19,19,48.73,-48.73
1051,of,ADP,14,-14,22.53,-22.53
1058,of,ADP,14,-14,22.53,-22.53
1075,of,ADP,14,-14,22.53,-22.53
1078,of,ADP,14,-14,22.53,-22.53
1096,of,ADP,14,-14,22.53,-22.53
1108,at,ADP,3,3,9.13,9.13
1111,on,ADP,5,5,13.54,13.54
1115,in,ADP,6,-6,12.48,-12.48
1121,because,ADP,34,-34,234.90,-234.90
1122,of,ADP,14,-14,22.53,-22.53
1125,of,ADP,14,-14,22.53,-22.53
1129,of,ADP,14,-14,22.53,-22.53
1132,of,ADP,14,-14,22.53,-22.53
1137,in,ADP,6,-6,12.48,-12.48
1138,of,ADP,14,-14,22.53,-22.53
1141,of,ADP,14,-14,22.53,-22.53
1153,of,ADP,14,-14,22.53,-22.53
1162,of,ADP,14,-14,22.53,-22.53
1166,by,ADP,14,-14,96.72,-96.72
1178,of,ADP,14,-14,22.53,-22.53
1184,of,ADP,14,-14,22.53,-22.53
1187,of,ADP,14,-14,22.53,-22.53
1191,of,ADP,14,-14,22.53,-22.53
1198,in,ADP,6,-6,12.48,-12.48
1209,by,ADP,14,-14,96.72,-96.72
1214,With,ADP,19,19,52.68,-52.68
1216,without,ADP,28,-28,193.45,193.45
1219,of,ADP,14,-14,22.53,-22.53
1224,of,ADP,14,-14,22.53,-22.53
1230,of,ADP,14,-14,22.53,-22.53
1234,in,ADP,6,-6,12.48,-12.48
1238,after,ADP,20,-20,138.18,-138.18
1245,of,ADP,14,-14,22.53,-22.53
1253,of,ADP,14,-14,22.53,-22.53
1262,by,ADP,14,-14,96.72,-96.72
1267,of,ADP,14,-14,22.53,-22.53
1284,as,ADP,5,5,14.45,-14.45
1290,in,ADP,6,-6,12.48,-12.48
1294,of,ADP,14,-14,22.53,-22.53
1298,of,ADP,14,-14,22.53,-22.53
1302,of,ADP,14,-14,22.53,-22.53
1306,of,ADP,14,-14,22.53,-22.53
1313,of,ADP,14,-14,22.53,-22.53
1319,of,ADP,14,-14,22.53,-22.53
1322,of,ADP,14,-14,22.53,-22.53
1325,of,ADP,14,-14,22.53,-22.53
1328,of,ADP,14,-14,22.53,-22.53
1332,of,ADP,14,-14,22.53,-22.53
1340,of,ADP,14,-14,22.53,-22.53
1345,by,ADP,14,-14,96.72,-96.72
1350,of,ADP,14,-14,22.53,-22.53
1357,of,ADP,14,-14,22.53,-22.53
1366,in,ADP,6,-6,12.48,-12.48
1371,in,ADP,6,-6,12.48,-12.48
1374,of,ADP,14,-14,22.53,-22.53
1381,in,ADP,6,-6,12.48,-12.48
1385,of,ADP,14,-14,22.53,-22.53
1391,for,ADP,19,19,48.73,-48.73
1405,of,ADP,14,-14,22.53,-22.53
1406,in,ADP,6,-6,12.48,-12.48
1419,of,ADP,14,-14,22.53,-22.53
1422,in,ADP,6,-6,12.48,-12.48
1428,of,ADP,14,-14,22.53,-22.53
1435,of,ADP,14,-14,22.53,-22.53
1441,of,ADP,14,-14,22.53,-22.53
