Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
2284,famous,ADJ,33,33,227.99,227.99
2300,highest,ADJ,29,29,200.35,-200.35
2354,present,ADJ,26,-26,179.63,179.63
2361,last,ADJ,13,13,89.81,89.81
2370,many,ADJ,13,13,89.81,89.81
2381,Babylonian,ADJ,50,-50,345.44,345.44
2392,broken,ADJ,41,41,283.26,283.26
2393,fragments—the,ADJ,52,-52,359.26,359.26
2416,scanty,ADJ,16,-16,110.54,-110.54
2418,such,ADJ,20,-20,138.18,-138.18
2431,most,ADJ,16,-16,110.54,-110.54
2436,least,ADJ,14,-14,96.72,-96.72
2445,first,ADJ,24,-24,165.81,165.81
2452,dark,ADJ,29,29,200.35,-200.35
2468,Light,ADJ,28,-28,193.45,193.45
2474,long,ADJ,24,-24,165.81,165.81
2482,principal,ADJ,58,-58,400.71,-400.71
2510,s,ADJ,3,3,20.73,-20.73
2516,Second,ADJ,23,23,158.90,-158.90
2518,Third,ADJ,20,-20,138.18,-138.18
2539,incarnated.,ADJ,33,33,227.99,227.99
2630,Babylonian,ADJ,50,-50,345.44,345.44
2641,first,ADJ,24,-24,165.81,165.81
2653,proper,ADJ,40,-40,276.35,-276.35
2664,other,ADJ,14,-14,96.72,-96.72
2665,exoteric,ADJ,41,41,283.26,283.26
2682,primordial,ADJ,58,-58,400.71,-400.71
2697,human,ADJ,22,-22,151.99,151.99
2721,ancient,ADJ,20,-20,138.18,-138.18
2737,prehistoric,ADJ,51,51,352.35,-352.35
2742,useful,ADJ,32,-32,221.08,221.08
2758,great,ADJ,21,21,145.08,145.08
2776,many,ADJ,13,13,89.81,89.81
2809,original,ADJ,39,39,269.44,269.44
2852,possible,ADJ,48,-48,331.62,331.62
2856,probable,ADJ,59,59,407.62,407.62
2865,convenient,ADJ,39,39,269.44,269.44
2880,familiar,ADJ,44,-44,303.99,303.99
2883,cultured,ADJ,38,-38,262.53,-262.53
2892,first,ADJ,24,-24,165.81,165.81
2897,first,ADJ,24,-24,165.81,165.81
2927,Imperishable,ADJ,67,67,462.89,-462.89
2936,other,ADJ,14,-14,96.72,-96.72
2942,only,ADJ,12,-12,82.91,-82.91
2949,last,ADJ,13,13,89.81,89.81
2968,first,ADJ,24,-24,165.81,165.81
2975,last,ADJ,13,13,89.81,89.81
2983,future,ADJ,28,-28,193.45,193.45
2989,mysterious,ADJ,34,-34,234.90,-234.90
2991,sacred,ADJ,25,25,172.72,-172.72
2994,little,ADJ,21,21,145.08,145.08
3003,poetical,ADJ,39,39,269.44,269.44
3014,watchful,ADJ,48,-48,331.62,331.62
3045,second,ADJ,23,23,158.90,-158.90
3078,Such,ADJ,20,-20,138.18,-138.18
3085,oldest,ADJ,21,21,145.08,145.08
3092,mysterious,ADJ,34,-34,234.90,-234.90
3121,far‐away,ADJ,32,-32,221.08,221.08
3154,better,ADJ,23,23,158.90,-158.90
3162,different,ADJ,42,-42,290.17,-290.17
3175,frozen‐hearted,ADJ,62,-62,428.34,-428.34
3195,ideal,ADJ,20,-20,138.18,-138.18
3217,real,ADJ,15,15,103.63,103.63
3228,early,ADJ,15,15,103.63,103.63
3235,more,ADJ,18,-18,124.36,-124.36
3247,nocturnal,ADJ,35,35,241.81,241.81
3265,favourite,ADJ,47,47,324.71,-324.71
3278,beloved,ADJ,47,47,324.71,-324.71
3287,poetized,ADJ,49,49,338.53,-338.53
3297,third,ADJ,20,-20,138.18,-138.18
3322,zoological,ADJ,69,69,476.70,-476.70
3325,actual,ADJ,25,25,172.72,-172.72
3328,prehistoric,ADJ,51,51,352.35,-352.35
3357,gigantic,ADJ,45,45,310.89,-310.89
3363,Indian,ADJ,20,-20,138.18,-138.18
3421,marsupial,ADJ,50,-50,345.44,345.44
3428,northern,ADJ,23,23,158.90,-158.90
3432,Secondary,ADJ,30,-30,207.26,207.26
3447,fourth,ADJ,29,29,200.35,-200.35
3453,first,ADJ,24,-24,165.81,165.81
3454,historical,ADJ,41,41,283.26,283.26
3464,more,ADJ,18,-18,124.36,-124.36
3471,famous,ADJ,33,33,227.99,227.99
3484,great,ADJ,21,21,145.08,145.08
3489,fifth,ADJ,31,31,214.17,-214.17
3534,geological,ADJ,59,59,407.62,407.62
3536,geographical,ADJ,73,73,504.34,-504.34
3571,Âryan,ADJ,9,9,62.18,-62.18
3579,great,ADJ,21,21,145.08,145.08
3596,modern,ADJ,26,-26,179.63,179.63
3597,geographical,ADJ,73,73,504.34,-504.34
3608,earliest,ADJ,24,-24,165.81,165.81
3615,great,ADJ,21,21,145.08,145.08
3624,more,ADJ,18,-18,124.36,-124.36
3652,further,ADJ,32,-32,221.08,221.08
3667,last,ADJ,13,13,89.81,89.81
3668,serious,ADJ,24,-24,165.81,165.81
3683,little,ADJ,21,21,145.08,145.08
3703,old,ADJ,16,-16,110.54,-110.54
3718,secret,ADJ,19,19,131.27,131.27
3728,physical,ADJ,41,41,283.26,283.26
3734,pre‐tertiary,ADJ,38,-38,262.53,-262.53
