Sequence,Complexity,Mode,Words,T1_Raw,T1_Plot,T2_Raw,T2_Plot
0,Simple,Narrative,8,232,-232,1491.35,1491.35
1,Simple,Narrative,34,610,-610,3575.86,3575.86
2,Compound/Complex,Narrative,26,474,-474,2937.72,2937.72
3,Complex,Narrative,27,439,439,2573.71,2573.71
4,Simple,Narrative,5,94,-94,612.13,-612.13
5,Simple,Narrative,25,673,673,4426.62,-4426.62
6,Simple,Conversation,23,547,547,3379.59,3379.59
7,Simple,Narrative,4,72,-72,497.43,497.43
8,Simple,Conversation,9,165,165,1139.94,1139.94
9,Simple,Narrative,18,503,503,3291.05,3291.05
10,Simple,Narrative,3,84,-84,580.34,-580.34
11,Simple,Narrative,1,21,21,145.08,145.08
12,Simple,Narrative,4,72,-72,497.43,497.43
13,Simple,Narrative,2,42,-42,290.17,-290.17
14,Simple,Narrative,2,49,49,338.53,-338.53
15,Simple,Narrative,4,94,-94,649.42,649.42
16,Simple,Narrative,2,53,53,366.16,-366.16
17,Simple,Narrative,2,57,57,393.80,393.80
18,Simple,Narrative,2,52,-52,359.26,359.26
19,Simple,Narrative,4,100,-100,690.88,-690.88
20,Simple,Narrative,2,56,-56,386.89,-386.89
21,Simple,Narrative,16,361,361,2282.36,-2282.36
22,Simple,Narrative,2,34,-34,216.85,-216.85
23,Simple,Narrative,4,108,-108,671.96,671.96
24,Simple,Narrative,3,102,-102,704.69,-704.69
25,Simple,Narrative,2,38,-38,262.53,-262.53
26,Simple,Narrative,3,69,69,476.70,-476.70
27,Simple,Narrative,8,193,193,1192.93,-1192.93
28,Simple,Narrative,7,182,-182,1108.62,-1108.62
29,Simple,Narrative,2,42,-42,290.17,-290.17
30,Simple,Narrative,4,66,-66,433.89,433.89
31,Simple,Narrative,2,49,49,338.53,-338.53
32,Simple,Narrative,5,89,89,503.40,503.40
33,Simple,Narrative,9,192,-192,1105.53,1105.53
34,Simple,Narrative,10,232,-232,1454.05,-1454.05
35,Simple,Narrative,3,96,-96,625.95,625.95
36,Simple,Narrative,2,49,49,338.53,-338.53
37,Simple,Conversation,14,296,-296,1835.12,1835.12
38,Simple,Narrative,9,179,179,1139.99,1139.99
39,Simple,Narrative,2,34,-34,234.90,-234.90
40,Simple,Narrative,1,8,-8,55.27,55.27
41,Simple,Narrative,1,49,49,338.53,-338.53
42,Simple,Narrative,1,12,-12,82.91,-82.91
43,Simple,Narrative,1,28,-28,193.45,193.45
44,Simple,Narrative,1,19,19,131.27,131.27
45,Simple,Narrative,2,110,-110,759.96,759.96
46,Simple,Narrative,4,79,79,545.79,545.79
47,Simple,Narrative,2,57,57,393.80,393.80
48,Simple,Narrative,8,193,193,1184.61,-1184.61
49,Simple,Narrative,8,168,-168,976.84,-976.84
50,Simple,Narrative,2,52,-52,359.26,359.26
51,Simple,Narrative,5,100,-100,579.39,579.39
52,Simple,Narrative,4,85,85,536.07,-536.07
53,Simple,Conversation,10,165,165,940.00,940.00
54,Simple,Narrative,6,91,91,479.92,479.92
55,Simple,Conversation,9,230,-230,1471.57,1471.57
56,Simple,Narrative,7,134,-134,804.36,-804.36
57,Simple,Narrative,4,67,67,452.96,-452.96
58,Simple,Conversation,11,196,-196,1089.46,1089.46
59,Simple,Narrative,2,52,-52,359.26,359.26
60,Simple,Narrative,10,238,-238,1393.17,1393.17
61,Simple,Narrative,9,183,183,1170.95,-1170.95
62,Simple,Narrative,2,56,-56,386.89,-386.89
63,Simple,Narrative,7,143,143,899.49,899.49
64,Simple,Narrative,6,188,-188,1247.68,1247.68
65,Simple,Narrative,5,119,119,733.68,733.68
66,Simple,Narrative,3,85,85,587.24,587.24
67,Simple,Narrative,6,92,-92,486.83,-486.83
68,Complex,Narrative,11,171,171,1039.83,1039.83
69,Simple,Narrative,11,248,-248,1550.32,-1550.32
70,Simple,Narrative,9,235,235,1514.09,-1514.09
71,Simple,Conversation,8,200,-200,1260.34,-1260.34
72,Simple,Narrative,11,262,-262,1667.68,1667.68
73,Simple,Narrative,1,45,45,310.89,-310.89
74,Simple,Narrative,2,29,29,200.35,-200.35
75,Simple,Narrative,6,183,183,1115.52,1115.52
76,Simple,Narrative,8,190,-190,1283.69,1283.69
77,Simple,Narrative,2,30,-30,207.26,207.26
78,Simple,Narrative,1,42,-42,290.17,-290.17
79,Simple,Narrative,2,34,-34,234.90,-234.90
80,Simple,Conversation,6,108,-108,634.66,-634.66
