Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
3117,and,CONJ,10,-10,17.92,17.92
3120,but,CONJ,20,-20,138.18,-138.18
3150,but,CONJ,20,-20,138.18,-138.18
3162,and,CONJ,10,-10,17.92,17.92
3176,and,CONJ,10,-10,17.92,17.92
3202,and,CONJ,10,-10,17.92,17.92
3213,and,CONJ,10,-10,17.92,17.92
3216,But,CONJ,20,-20,138.18,-138.18
3289,and,CONJ,10,-10,17.92,17.92
3320,or,CONJ,8,-8,55.27,55.27
3339,but,CONJ,20,-20,138.18,-138.18
3361,or,CONJ,8,-8,55.27,55.27
3368,and,CONJ,10,-10,17.92,17.92
3392,and,CONJ,10,-10,17.92,17.92
3393,and,CONJ,10,-10,17.92,17.92
3398,and,CONJ,10,-10,17.92,17.92
3430,and,CONJ,10,-10,17.92,17.92
3449,and,CONJ,10,-10,17.92,17.92
3542,but,CONJ,20,-20,138.18,-138.18
3546,and,CONJ,10,-10,17.92,17.92
3587,and,CONJ,10,-10,17.92,17.92
3588,but,CONJ,20,-20,138.18,-138.18
3597,and,CONJ,10,-10,17.92,17.92
3633,nor,CONJ,10,-10,69.09,69.09
3675,and,CONJ,10,-10,17.92,17.92
3684,and,CONJ,10,-10,17.92,17.92
3705,And,CONJ,10,-10,17.92,17.92
3715,and,CONJ,10,-10,17.92,17.92
3719,and,CONJ,10,-10,17.92,17.92
3741,and,CONJ,10,-10,17.92,17.92
3760,and,CONJ,10,-10,17.92,17.92
3778,and,CONJ,10,-10,17.92,17.92
3859,and,CONJ,10,-10,17.92,17.92
3867,but,CONJ,20,-20,138.18,-138.18
3890,but,CONJ,20,-20,138.18,-138.18
3905,and,CONJ,10,-10,17.92,17.92
3908,or,CONJ,8,-8,55.27,55.27
3928,and,CONJ,10,-10,17.92,17.92
3939,and,CONJ,10,-10,17.92,17.92
3965,and,CONJ,10,-10,17.92,17.92
3991,or,CONJ,8,-8,55.27,55.27
3994,and,CONJ,10,-10,17.92,17.92
4003,and,CONJ,10,-10,17.92,17.92
4023,or,CONJ,8,-8,55.27,55.27
4050,but,CONJ,20,-20,138.18,-138.18
4069,or,CONJ,8,-8,55.27,55.27
4077,and,CONJ,10,-10,17.92,17.92
4099,and,CONJ,10,-10,17.92,17.92
4143,or,CONJ,8,-8,55.27,55.27
4147,either,CONJ,16,-16,110.54,-110.54
4152,or,CONJ,8,-8,55.27,55.27
4165,and,CONJ,10,-10,17.92,17.92
4179,and,CONJ,10,-10,17.92,17.92
4193,But,CONJ,20,-20,138.18,-138.18
4206,nor,CONJ,10,-10,69.09,69.09
4226,and,CONJ,10,-10,17.92,17.92
4251,but,CONJ,20,-20,138.18,-138.18
4261,and,CONJ,10,-10,17.92,17.92
