Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
39,higher,ADJ,30,-30,207.26,207.26
81,allotted,ADJ,28,-28,193.45,193.45
112,mystical,ADJ,34,-34,234.90,-234.90
183,first,ADJ,24,-24,165.81,165.81
220,invisible,ADJ,54,-54,373.07,373.07
221,i,ADJ,4,-4,9.59,9.59
291,identical,ADJ,35,35,241.81,241.81
338,ii,ADJ,8,-8,55.27,55.27
365,antagonistic,ADJ,44,-44,303.99,303.99
403,ii,ADJ,8,-8,55.27,55.27
431,Creative,ADJ,37,37,255.62,255.62
610,Pre-cosmic,ADJ,54,-54,373.07,373.07
642,identical,ADJ,35,35,241.81,241.81
647,Self-consciousness,ADJ,70,-70,483.61,483.61
686,i,ADJ,4,-4,9.59,9.59
739,indescribable,ADJ,71,71,490.52,-490.52
740,i,ADJ,4,-4,9.59,9.59
751,impossible,ADJ,61,61,421.43,421.43
752,i,ADJ,4,-4,9.59,9.59
764,specific,ADJ,52,-52,359.26,359.26
765,i,ADJ,4,-4,9.59,9.59
844,purest,ADJ,28,-28,193.45,193.45
882,great,ADJ,21,21,145.08,145.08
902,primordial,ADJ,58,-58,400.71,-400.71
903,ii,ADJ,8,-8,55.27,55.27
931,Lower,ADJ,26,-26,179.63,179.63
968,primordial,ADJ,58,-58,400.71,-400.71
969,ii,ADJ,8,-8,55.27,55.27
1006,Accadian,ADJ,34,-34,234.90,-234.90
1062,i,ADJ,4,-4,9.59,9.59
1146,so-called,ADJ,37,37,255.62,255.62
1147,i,ADJ,4,-4,9.59,9.59
1150,i,ADJ,4,-4,9.59,9.59
1170,impersonal,ADJ,49,49,338.53,-338.53
1171,ii,ADJ,8,-8,55.27,55.27
1173,good,ADJ,24,-24,165.81,165.81
1175,only,ADJ,12,-12,82.91,-82.91
1176,i,ADJ,4,-4,9.59,9.59
1221,third,ADJ,20,-20,138.18,-138.18
1222,i,ADJ,4,-4,9.59,9.59
1331,intense,ADJ,14,-14,96.72,-96.72
1355,cyclic,ADJ,35,35,241.81,241.81
1356,i,ADJ,4,-4,9.59,9.59
1389,Âdi-Nâth,ADJ,17,17,117.45,117.45
1409,A-sexual,ADJ,38,-38,262.53,-262.53
1499,human,ADJ,22,-22,151.99,151.99
1538,i,ADJ,4,-4,9.59,9.59
1555,identical,ADJ,35,35,241.81,241.81
1608,fourth,ADJ,29,29,200.35,-200.35
1609,ii,ADJ,8,-8,55.27,55.27
1619,different,ADJ,42,-42,290.17,-290.17
1643,first,ADJ,24,-24,165.81,165.81
1665,first,ADJ,24,-24,165.81,165.81
1689,second,ADJ,23,23,158.90,-158.90
1690,ii,ADJ,8,-8,55.27,55.27
1693,ii,ADJ,8,-8,55.27,55.27
1709,ii,ADJ,8,-8,55.27,55.27
1720,ii,ADJ,8,-8,55.27,55.27
1748,i,ADJ,4,-4,9.59,9.59
1751,ii,ADJ,8,-8,55.27,55.27
1754,ii,ADJ,8,-8,55.27,55.27
1784,generic,ADJ,33,33,227.99,227.99
1801,i,ADJ,4,-4,9.59,9.59
1829,Mind-born,ADJ,45,45,310.89,-310.89
1852,four-lettered,ADJ,47,47,324.71,-324.71
1853,ii,ADJ,8,-8,55.27,55.27
1860,ii,ADJ,8,-8,55.27,55.27
1888,Primitive,ADJ,56,-56,386.89,-386.89
1891,ii,ADJ,8,-8,55.27,55.27
1899,primordial,ADJ,58,-58,400.71,-400.71
1918,Syrian,ADJ,16,-16,110.54,-110.54
1945,British,ADJ,35,35,241.81,241.81
1989,pre-Christian,ADJ,52,-52,359.26,359.26
1990,i,ADJ,4,-4,9.59,9.59
2009,higher,ADJ,30,-30,207.26,207.26
2016,full,ADJ,30,-30,207.26,207.26
2017,ii,ADJ,8,-8,55.27,55.27
2061,highest,ADJ,29,29,200.35,-200.35
2115,Spiritual,ADJ,44,-44,303.99,303.99
2180,great,ADJ,21,21,145.08,145.08
2181,ii,ADJ,8,-8,55.27,55.27
2269,great,ADJ,21,21,145.08,145.08
2270,ii,ADJ,8,-8,55.27,55.27
2297,Good,ADJ,24,-24,165.81,165.81
2314,ii,ADJ,8,-8,55.27,55.27
2321,Indian,ADJ,20,-20,138.18,-138.18
2322,i,ADJ,4,-4,9.59,9.59
2360,previous,ADJ,49,49,338.53,-338.53
2361,ii,ADJ,8,-8,55.27,55.27
2399,new,ADJ,13,13,89.81,89.81
2409,future,ADJ,28,-28,193.45,193.45
2410,i,ADJ,4,-4,9.59,9.59
2431,Post-diluvian,ADJ,65,65,449.07,449.07
2432,i,ADJ,4,-4,9.59,9.59
2459,future,ADJ,28,-28,193.45,193.45
2460,ii,ADJ,8,-8,55.27,55.27
2480,Solar,ADJ,20,-20,138.18,-138.18
2486,s,ADJ,3,3,20.73,-20.73
2516,Wondrous,ADJ,37,37,255.62,255.62
2550,first,ADJ,24,-24,165.81,165.81
2580,Âdi-Buddhi,ADJ,49,49,338.53,-338.53
2585,Âdi-Buddhic,ADJ,57,57,393.80,393.80
2598,i,ADJ,4,-4,9.59,9.59
2607,Âdi-Nidâna,ADJ,26,-26,179.63,179.63
2628,i,ADJ,4,-4,9.59,9.59
2631,i,ADJ,4,-4,9.59,9.59
2635,i,ADJ,4,-4,9.59,9.59
2642,unfathomable,ADJ,61,61,421.43,421.43
2643,ii,ADJ,8,-8,55.27,55.27
2649,i,ADJ,4,-4,9.59,9.59
2695,i,ADJ,4,-4,9.59,9.59
2723,real,ADJ,15,15,103.63,103.63
2729,i,ADJ,4,-4,9.59,9.59
2738,ii,ADJ,8,-8,55.27,55.27
2775,primitive,ADJ,56,-56,386.89,-386.89
2787,universal,ADJ,44,-44,303.99,303.99
2788,ii,ADJ,8,-8,55.27,55.27
2808,final,ADJ,26,-26,179.63,179.63
2809,i,ADJ,4,-4,9.59,9.59
