Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
195147,of,ADP,14,-14,22.53,-22.53
195157,of,ADP,14,-14,22.53,-22.53
195166,of,ADP,14,-14,22.53,-22.53
195173,for,ADP,19,19,48.73,-48.73
195178,by,ADP,14,-14,96.72,-96.72
195181,of,ADP,14,-14,22.53,-22.53
195184,as,ADP,5,5,14.45,-14.45
195194,with,ADP,19,19,52.68,-52.68
195196,of,ADP,14,-14,22.53,-22.53
195202,of,ADP,14,-14,22.53,-22.53
195209,of,ADP,14,-14,22.53,-22.53
195216,on,ADP,5,5,13.54,13.54
195217,by,ADP,14,-14,96.72,-96.72
195231,of,ADP,14,-14,22.53,-22.53
195254,of,ADP,14,-14,22.53,-22.53
195261,on,ADP,5,5,13.54,13.54
195271,between,ADP,30,-30,207.26,207.26
195285,in,ADP,6,-6,12.48,-12.48
195307,of,ADP,14,-14,22.53,-22.53
195314,over,ADP,24,-24,165.81,165.81
195315,from,ADP,28,-28,193.45,193.45
195345,with,ADP,19,19,52.68,-52.68
195360,without,ADP,28,-28,193.45,193.45
195367,from,ADP,28,-28,193.45,193.45
195372,if,ADP,15,15,103.63,103.63
195375,by,ADP,14,-14,96.72,-96.72
195377,on,ADP,5,5,13.54,13.54
195391,by,ADP,14,-14,96.72,-96.72
195400,with,ADP,19,19,52.68,-52.68
195406,by,ADP,14,-14,96.72,-96.72
195409,for,ADP,19,19,48.73,-48.73
195414,in_,ADP,6,-6,41.45,41.45
195417,of,ADP,14,-14,22.53,-22.53
195427,in,ADP,6,-6,12.48,-12.48
195430,that,ADP,8,-8,17.58,17.58
195433,that,ADP,8,-8,17.58,17.58
195440,than,ADP,9,9,62.18,-62.18
195441,that,ADP,8,-8,17.58,17.58
195446,over,ADP,24,-24,165.81,165.81
195449,between,ADP,30,-30,207.26,207.26
195452,of,ADP,14,-14,22.53,-22.53
195465,that,ADP,8,-8,17.58,17.58
195470,on,ADP,5,5,13.54,13.54
195479,of,ADP,14,-14,22.53,-22.53
195494,in,ADP,6,-6,12.48,-12.48
195497,As,ADP,5,5,14.45,-14.45
195500,from,ADP,28,-28,193.45,193.45
195533,that,ADP,8,-8,17.58,17.58
195538,than,ADP,9,9,62.18,-62.18
195543,through,ADP,34,-34,234.90,-234.90
195546,that,ADP,8,-8,17.58,17.58
195550,at,ADP,3,3,9.13,9.13
195554,of,ADP,14,-14,22.53,-22.53
195556,of,ADP,14,-14,22.53,-22.53
195573,of,ADP,14,-14,22.53,-22.53
195587,in,ADP,6,-6,12.48,-12.48
195589,With,ADP,19,19,52.68,-52.68
195599,for,ADP,19,19,48.73,-48.73
195606,on,ADP,5,5,13.54,13.54
195613,on,ADP,5,5,13.54,13.54
195623,after,ADP,20,-20,138.18,-138.18
195628,until,ADP,19,19,131.27,131.27
195638,of,ADP,14,-14,22.53,-22.53
195647,that,ADP,8,-8,17.58,17.58
195652,as,ADP,5,5,14.45,-14.45
195659,of,ADP,14,-14,22.53,-22.53
195672,of,ADP,14,-14,22.53,-22.53
195682,as,ADP,5,5,14.45,-14.45
195691,of,ADP,14,-14,22.53,-22.53
195697,of,ADP,14,-14,22.53,-22.53
195705,as,ADP,5,5,14.45,-14.45
195716,for,ADP,19,19,48.73,-48.73
195752,as,ADP,5,5,14.45,-14.45
195767,in,ADP,6,-6,12.48,-12.48
195789,between,ADP,30,-30,207.26,207.26
195796,as,ADP,5,5,14.45,-14.45
195804,in,ADP,6,-6,12.48,-12.48
195813,of,ADP,14,-14,22.53,-22.53
195823,that,ADP,8,-8,17.58,17.58
195829,of,ADP,14,-14,22.53,-22.53
195845,along,ADP,26,-26,179.63,179.63
195874,above,ADP,35,35,241.81,241.81
195883,near,ADP,10,-10,69.09,69.09
195894,of,ADP,14,-14,22.53,-22.53
195907,along,ADP,26,-26,179.63,179.63
195911,of,ADP,14,-14,22.53,-22.53
195914,in,ADP,6,-6,12.48,-12.48
195929,into,ADP,10,-10,69.09,69.09
195936,of,ADP,14,-14,22.53,-22.53
195942,of,ADP,14,-14,22.53,-22.53
195950,over,ADP,24,-24,165.81,165.81
195953,By,ADP,14,-14,96.72,-96.72
195955,on,ADP,5,5,13.54,13.54
195966,for,ADP,19,19,48.73,-48.73
195984,from,ADP,28,-28,193.45,193.45
195988,above,ADP,35,35,241.81,241.81
195997,of,ADP,14,-14,22.53,-22.53
196002,of,ADP,14,-14,22.53,-22.53
196008,if,ADP,15,15,103.63,103.63
196014,of,ADP,14,-14,22.53,-22.53
196023,in,ADP,6,-6,12.48,-12.48
196035,of,ADP,14,-14,22.53,-22.53
196041,by,ADP,14,-14,96.72,-96.72
196046,by,ADP,14,-14,96.72,-96.72
196050,on,ADP,5,5,13.54,13.54
196054,of,ADP,14,-14,22.53,-22.53
196060,at,ADP,3,3,9.13,9.13
196078,as,ADP,5,5,14.45,-14.45
196087,besides,ADP,32,-32,221.08,221.08
196097,of,ADP,14,-14,22.53,-22.53
196102,at,ADP,3,3,9.13,9.13
196110,from,ADP,28,-28,193.45,193.45
196121,from,ADP,28,-28,193.45,193.45
196132,by,ADP,14,-14,96.72,-96.72
196140,than,ADP,9,9,62.18,-62.18
196144,at,ADP,3,3,9.13,9.13
196152,at,ADP,3,3,9.13,9.13
196160,into,ADP,10,-10,69.09,69.09
196163,If,ADP,15,15,103.63,103.63
196174,with,ADP,19,19,52.68,-52.68
196183,of,ADP,14,-14,22.53,-22.53
196185,in,ADP,6,-6,12.48,-12.48
196187,with,ADP,19,19,52.68,-52.68
196191,with,ADP,19,19,52.68,-52.68
196194,of,ADP,14,-14,22.53,-22.53
196226,until,ADP,19,19,131.27,131.27
196230,by,ADP,14,-14,96.72,-96.72
196234,of,ADP,14,-14,22.53,-22.53
196238,from,ADP,28,-28,193.45,193.45
196248,with,ADP,19,19,52.68,-52.68
196257,of,ADP,14,-14,22.53,-22.53
196265,by,ADP,14,-14,96.72,-96.72
196269,of,ADP,14,-14,22.53,-22.53
196276,with,ADP,19,19,52.68,-52.68
196296,of,ADP,14,-14,22.53,-22.53
196299,as,ADP,5,5,14.45,-14.45
196303,by,ADP,14,-14,96.72,-96.72
196312,of,ADP,14,-14,22.53,-22.53
196316,by,ADP,14,-14,96.72,-96.72
196319,of,ADP,14,-14,22.53,-22.53
196329,by,ADP,14,-14,96.72,-96.72
196331,that,ADP,8,-8,17.58,17.58
196335,If,ADP,15,15,103.63,103.63
196338,on,ADP,5,5,13.54,13.54
196357,If,ADP,15,15,103.63,103.63
196364,of,ADP,14,-14,22.53,-22.53
196375,of,ADP,14,-14,22.53,-22.53
196379,of,ADP,14,-14,22.53,-22.53
196391,in,ADP,6,-6,12.48,-12.48
196394,because,ADP,34,-34,234.90,-234.90
196402,on,ADP,5,5,13.54,13.54
196419,than,ADP,9,9,62.18,-62.18
196429,as,ADP,5,5,14.45,-14.45
196435,as,ADP,5,5,14.45,-14.45
196448,in,ADP,6,-6,12.48,-12.48
